Assembly File,..\14nmFinFET.zam

Runs,2.1.15:thickness,2.1.15:type.conformal.lateralRatio,2.1.9:lithography.dimensionalBias.xBias,2.1.9:thickness,2.2.9.2.2:materials['/Organics/'].etchType.sputter.maxYieldAngle,2.2.9.2.2:materials['/Organics/'].etchType.sputter.sputterRatio,2.2.9.2.2:materials['/Silicon/'].etchRatio,2.2.9.2.2:materials['/Silicon/'].etchType.taper.sidewallAngle,2.2.9.2.2:materials['/Silicon/'].lateralRatio
0,45.0,0.7,4.0,70.0,60.0,0.3,1.0,7.0,0.03
1,35.0,0.5,-4.0,70.0,40.0,0.1,0.8,3.0,0.01
2,35.0,0.6,4.0,90.0,40.0,0.1,0.8,7.0,0.03
3,45.0,0.6,-4.0,50.0,60.0,0.3,1.0,3.0,0.01
4,45.0,0.5,4.0,90.0,60.0,0.1,0.9,3.0,0.01
5,35.0,0.7,-4.0,50.0,40.0,0.3,0.9,7.0,0.03
6,45.0,0.5,-4.0,90.0,60.0,0.2,0.8,7.0,0.03
7,35.0,0.7,4.0,50.0,40.0,0.2,1.0,3.0,0.01
8,40.0,0.5,-4.0,90.0,40.0,0.3,1.0,3.0,0.03
9,40.0,0.7,4.0,50.0,60.0,0.1,0.8,7.0,0.01
10,35.0,0.5,4.0,90.0,50.0,0.3,1.0,7.0,0.01
11,45.0,0.7,-4.0,50.0,50.0,0.1,0.8,3.0,0.03
12,35.0,0.7,-4.0,90.0,60.0,0.3,0.8,5.0,0.01
13,45.0,0.5,4.0,50.0,40.0,0.1,1.0,5.0,0.03
14,45.0,0.7,4.0,90.0,40.0,0.3,0.8,3.0,0.02
15,35.0,0.5,-4.0,50.0,60.0,0.1,1.0,7.0,0.02
16,35.0,0.7,0.0,90.0,60.0,0.1,1.0,3.0,0.03
17,45.0,0.5,0.0,50.0,40.0,0.3,0.8,7.0,0.01
18,45.0,0.7,-4.0,90.0,40.0,0.1,1.0,7.0,0.01
19,35.0,0.5,4.0,50.0,60.0,0.3,0.8,3.0,0.03
20,40.0,0.6,0.0,70.0,50.0,0.2,0.9,5.0,0.02
End
